Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Number of Calls,
"macroblockPredGetDataUV(struct PBPredictInfo *,unsigned char *,int,int,int,int)","11,069.41","11,069.41",341.01,341.01,5.25,5.25,14.41,14.41,"2,632,478",
"macroblockPredGetDataY(struct PBPredictInfo *,unsigned char *,int,int,int,int)","5,736.25","5,736.25",321.37,321.37,2.72,2.72,13.58,13.58,"1,316,239",
"MVCThreadPool::AddThread(unsigned long)",0.09,0.00,0.05,0.00,0.00,0.00,0.00,0.00,31,
"MVCThreadPool::GetInstnace(void)",0.77,0.09,0.24,0.08,0.00,0.00,0.01,0.00,"1,294",
"MVCThreadPool::GetThreadInfo(unsigned long)",0.35,0.06,0.34,0.05,0.00,0.00,0.01,0.00,"1,232",
"MVCThreadPool::MVCThreadPool(void)",0.68,0.00,0.15,0.00,0.00,0.00,0.01,0.00,1,
"MVCThreadPool::RemoveThread(unsigned long)",0.17,0.02,0.11,0.02,0.00,0.00,0.00,0.00,31,
"MVCWriteSignal(unsigned int)",0.10,0.01,0.04,0.01,0.00,0.00,0.00,0.00,31,
"OpenThread",0.28,0.28,0.00,0.00,0.00,0.00,0.00,0.00,33,
"pre_c_init",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"pre_cpp_init",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"process_data_decode_I(struct CodingPictInfo *,struct macroblockdata *,struct predictInfo *,struct macroblockInfo *)","1,691.82",2.35,107.16,2.31,0.80,0.00,4.53,0.10,"26,429",
"ProcessFrames(void)","55,901.55",0.24,2.22,0.17,26.50,0.00,0.09,0.01,1,
"PSliceDecode(struct CodingPictInfo *,struct Bitstream *)","47,126.50",130.05,"2,261.89",46.38,22.34,0.06,95.57,1.96,124,
"QueryFreeAll(void)",0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"QueryFreeSPU(void)","55,859.83",0.12,0.93,0.12,26.48,0.00,0.04,0.01,141,
"QueryPerformanceCounter",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"RawData::~RawData(void)",1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"RawData::ProcessData(void)","55,888.00",600.81,0.68,0.66,26.50,0.28,0.03,0.03,1,
"RawData::RawData(class SlidingWindow *,char const *)",0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"RawData::RawDataWriter(void *)","55,888.00",0.00,0.68,0.00,26.50,0.00,0.03,0.00,1,
"ReleaseSemaphore",1.29,1.29,0.00,0.00,0.00,0.00,0.00,0.00,681,
"require_data_decode(struct CodingPictInfo *,struct macroblockdata *,struct PBPredictInfo *,struct macroblockInfo *,int,int)",7.79,7.79,7.72,7.72,0.00,0.00,0.33,0.33,"184,171",
"require_data_decode_I(struct CodingPictInfo *,struct macroblockdata *,struct predictInfo *,int,int)",1.61,1.61,1.60,1.60,0.00,0.00,0.07,0.07,"26,429",
"ResumeThread",0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,33,
"RtlDeleteCriticalSection",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"RtlEnterCriticalSection",0.21,0.21,0.21,0.21,0.00,0.00,0.01,0.01,"1,108",
"RtlLeaveCriticalSection",0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,"1,108",
"save_data(struct CodingPictInfo *,struct macroblockdata *,struct predictInfo *,int,int)",3.24,3.24,2.46,2.46,0.00,0.00,0.10,0.10,"9,720",
"save_data_pb(struct CodingPictInfo *,struct macroblockdata *,struct macroblockInfo *,int,int)",72.59,72.59,55.32,55.32,0.03,0.03,2.34,2.34,"200,880",
"setRefXY(struct tag_cavlc_ref_list *,int,int,int,struct refVector &)",284.86,284.86,13.78,13.78,0.14,0.14,0.58,0.58,"2,330,348",
"Sleep","98,823.20","98,823.20",0.00,0.00,46.85,46.85,0.00,0.00,"21,502",
"SlidingWindow::AllocMem(struct CodingPictInfo &)",1.15,0.01,0.01,0.00,0.00,0.00,0.00,0.00,64,
"SlidingWindow::GetFirstUnmarked(int,int,int)",81.92,81.92,0.30,0.30,0.04,0.04,0.01,0.01,"12,353",
"SlidingWindow::GetSliceParameters(int,int)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,
"SlidingWindow::IncreaseSaved(void)",309.45,227.56,0.95,0.69,0.15,0.11,0.04,0.03,"12,093",
"SlidingWindow::Init(int,int,int,int,int)",1.16,0.01,0.02,0.00,0.00,0.00,0.00,0.00,1,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::operator*(void)const ",0.06,0.06,0.06,0.06,0.00,0.00,0.00,0.00,421,
"std::_Tree<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Buynode(struct std::_Tree_nod<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Node *,struct std::_Tree_nod<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Node *,struct std::_Tree_nod<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Node *,struct std::pair<unsigned long const ,int> const &,char)",0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,31,
"std::_Tree<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Buynode(void)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"std::_Tree<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Insert(bool,struct std::_Tree_nod<class std::_Tmap_traits<unsigned long,int,struct std::less<unsigned long>,class std::allocator<struct std::pair<unsigned long const ,int> >,0> >::_Node *,struct std::pair<unsigned long const ,int> const &)",0.03,0.01,0.03,0.01,0.00,0.00,0.00,0.00,31,
